Team,Nation,OVR,GK,DEF,MID,ATT,Avg Height,Best Player,Best Player OVR
All Time Milan,Italy,89,86,89,90,90,183 cm,"Maldini, Paolo",93
All Time Juventus,italy,89,91,88,88,89,179 cm,"Platini, Michel",94
All Time Internazionale,italy,88,87,88,88,89,179 cm,"Ronaldo, Luís Nazário",95
All Time Barcelona,spain,88,86,87,89,91,179 cm,"Messi, Lionel",98
All Time Real Madrid,spain,89,88,88,89,92,179 cm,"Di Stéfano, Alfredo",97
All Time Manchester United,england,87,88,86,88,88,181 cm,"Charlton, Robert",92
All Time Bayern Munich,germany,88,91,88,87,90,181 cm,"Beckenbauer, Franz",95
All Time Liverpool,england,86,86,85,87,88,182 cm,"Keegan, Kevin",90
All Time Ajax,netherlands,86,84,86,87,86,180 cm,"Cruyff, Johan",96
All Time Roma,italy,86,84,86,87,86,177 cm,"Falcão, Paulo Roberto",91
All Time Arsenal,england,86,85,85,86,86,183 cm,"Henry, Thierry",91
All Time Chelsea,england,86,86,85,87,86,180 cm,"Drogba, Didier",89
