Nation,Category,OVR,GK,DEF,MID,ATT,Best Player,Best Player OVR
Brazil,Winner,95,92,94,95,97,"Pelé",99
Germany,Winner,94,93,94,94,94,"Beckenbauer, Franz",95
Italy,Winner,93,95,94,92,92,"Baggio, Roberto",94
Argentina,Winner,92,90,91,93,95,"Messi, Lionel",98
France,Winner,94,92,93,94,95,"Zidane, Zinedine",95
England,Winner,92,92,92,91,90,"Moore, Bobby",97
Spain,Winner,93,92,92,95,92,"Iniesta, Andrés",97
Netherlands,Runner-Up,89,86,88,90,90,"Cruyff, Johan",96
Croatia,Runner-Up,87,85,86,89,86,"Modrić, Luka",91
Morocco,Underrated,85,87,85,84,84,"Hakimi, Achraf",87
Cameroon,Underrated,84,83,84,85,84,"Eto'o, Samuel",89
Nigeria,Underrated,84,82,83,85,86,"Okocha, Jay-Jay",86
Senegal,Underrated,85,86,85,84,85,"Mané, Sadio",87
Belgium,3rd-Place,88,89,87,88,89,"De Bruyne, Kevin",91
Poland,3rd-Place,86,84,85,86,88,"Lewandowski, Robert",92
Uruguay,Winner,88,87,88,87,89,"Suárez, Luis",90
Portugal,3rd-Place,87,85,86,88,89,"Ronaldo, Cristiano",94
Ghana,Underrated,83,82,82,84,83,"Gyan, Asamoah",86
